group_id	items_in_group	lo_value	p	FDR	goodsgrna
hDel_5826__4000	17	3.3803e-02	2.0624e-02	0.295653	3
hDel_7235__11500	12	3.3858e-02	2.3360e-02	0.295653	2
hDel_50__3750	17	3.4159e-02	2.0624e-02	0.295653	3
hDel_766__0	23	3.4592e-02	2.1398e-02	0.295653	2
hDel_6418__108500	29	3.4602e-02	2.1035e-02	0.295653	4
hDel_94__2000	17	3.5325e-02	2.2179e-02	0.295653	3
hDel_94__3000	13	3.5502e-02	2.6933e-02	0.320618	1
hDel_50__2250	13	3.5502e-02	2.6933e-02	0.320618	1
hDel_3402__19000	13	3.5502e-02	2.6933e-02	0.320618	1
hDel_3933__750	13	3.5502e-02	2.6933e-02	0.320618	2
hDel_6418__100000	13	3.5502e-02	2.6933e-02	0.320618	1
hDel_1200__250	6	3.5565e-02	2.1684e-02	0.295653	2
hDel_1455__750	13	3.5645e-02	2.6933e-02	0.320618	2
hDel_494__750	13	3.5645e-02	2.6933e-02	0.320618	1
hDel_5637__1750	14	3.5715e-02	2.5734e-02	0.320618	3
hDel_4285__500	13	3.5788e-02	2.7439e-02	0.320618	2
hDel_2024__500	7	3.5791e-02	1.8994e-02	0.286845	2
hDel_5393__750	13	3.5931e-02	2.7439e-02	0.320618	1
hDel_6234__1500	13	3.6183e-02	2.7439e-02	0.320618	3
hDel_2136__5500	5	3.6718e-02	2.0059e-02	0.295080	1
hDel_6143__500	6	3.6905e-02	2.1685e-02	0.295653	1
hDel_5508__1000	29	3.7280e-02	2.1800e-02	0.295653	3
hDel_5738__67250	8	3.7294e-02	2.0154e-02	0.295187	2
hDel_5957__750	14	3.7445e-02	2.8341e-02	0.320618	3
hDel_4149__8000	17	3.7452e-02	2.3509e-02	0.296424	3
hDel_5084__3250	7	3.7501e-02	2.1119e-02	0.295653	2
hDel_2610__750	16	3.7565e-02	2.7359e-02	0.320618	3
hDel_2024__0	6	3.7722e-02	2.2669e-02	0.295653	2
hDel_6057__1250	14	3.8180e-02	2.8855e-02	0.320618	1
hDel_2865__0	14	3.8180e-02	2.8855e-02	0.320618	1
hDel_6185__5750	14	3.8180e-02	2.8855e-02	0.320618	1
hDel_7044__5500	14	3.8180e-02	2.8855e-02	0.320618	1
hDel_6226__250	14	3.8354e-02	2.8855e-02	0.320618	2
hDel_3059__2500	7	3.8403e-02	2.2221e-02	0.295653	2
hDel_5006__1250	7	3.8617e-02	2.2221e-02	0.295653	1
hDel_4069__250	14	3.8641e-02	2.8855e-02	0.320618	1
hDel_4555__1500	31	3.8727e-02	2.5097e-02	0.314091	4
hDel_1904__1250	8	3.8909e-02	2.1318e-02	0.295653	2
hDel_361__3250	5	3.9035e-02	2.0059e-02	0.295080	1
hDel_3021__1000	42	3.9522e-02	2.2501e-02	0.295653	5
hDel_4987__1750	8	3.9636e-02	2.1912e-02	0.295653	2
hDel_5845__0	15	4.0851e-02	3.0230e-02	0.324999	2
hDel_6552__0	15	4.0851e-02	3.0230e-02	0.324999	1
hDel_1585__750	15	4.0851e-02	3.0230e-02	0.324999	2
hDel_6144__1750	15	4.0851e-02	3.0230e-02	0.324999	1
hDel_5669__500	22	4.0874e-02	2.7230e-02	0.320618	2
hDel_4082__1000	40	4.1402e-02	2.6716e-02	0.320618	4
hDel_6899__1000	13	4.1552e-02	2.8483e-02	0.320618	2
hDel_4460__0	9	4.1697e-02	2.1968e-02	0.295653	2
hDel_5452__2750	5	4.1788e-02	2.2091e-02	0.295653	1
hDel_6002__3750	15	4.1835e-02	3.0231e-02	0.324999	1
hDel_5738__42000	6	4.2068e-02	2.7544e-02	0.320618	2
hDel_6206__5250	18	4.2334e-02	2.7076e-02	0.320618	3
hDel_5750__500	5	4.2337e-02	2.2091e-02	0.295653	1
hDel_2823__750	7	4.2534e-02	2.6938e-02	0.320618	2
hDel_6234__3750	22	4.2900e-02	2.7679e-02	0.320618	2
