group_id	items_in_group	lo_value	p	FDR	goodsgrna
hDel_774__0	5	4.8028e-03	3.4791e-03	0.510488	1
hDel_5909__7500	5	4.8028e-03	3.4791e-03	0.510488	1
hDel_5933__0	5	4.8028e-03	3.4791e-03	0.510488	1
hDel_6190__8250	5	4.8028e-03	3.4791e-03	0.510488	1
hDel_1975__0	5	4.8028e-03	3.4791e-03	0.510488	1
hDel_1258__250	5	4.8028e-03	3.4791e-03	0.510488	1
hDel_3601__1250	5	4.8028e-03	3.4791e-03	0.510488	1
hDel_169__750	5	4.8028e-03	3.4791e-03	0.510488	1
hDel_7115__2750	5	4.8028e-03	3.4791e-03	0.510488	1
hDel_469__2000	5	4.8028e-03	3.4791e-03	0.510488	1
hDel_662__1000	5	4.8028e-03	3.4791e-03	0.510488	1
hDel_6570__750	5	4.8028e-03	3.4791e-03	0.510488	1
hDel_2585__1750	5	4.8028e-03	3.4791e-03	0.510488	1
hDel_6144__1750	5	4.8028e-03	3.4791e-03	0.510488	1
hDel_779__8250	5	4.8028e-03	3.4791e-03	0.510488	1
hDel_5556__1000	5	4.8028e-03	3.4791e-03	0.510488	1
hDel_963__250	5	4.8028e-03	3.4791e-03	0.510488	1
hDel_5738__67750	5	4.8028e-03	3.4791e-03	0.510488	1
hDel_6418__189750	5	4.8028e-03	3.4791e-03	0.510488	1
hDel_5738__67500	5	4.8028e-03	3.4791e-03	0.510488	1
hDel_1331__12000	5	4.8028e-03	3.4791e-03	0.510488	1
hDel_53__1500	5	4.8028e-03	3.4791e-03	0.510488	1
hDel_5871__5000	10	4.8118e-03	4.8313e-03	0.510488	2
hDel_1584__0	5	4.8180e-03	5.8511e-03	0.510488	1
hDel_5539__250	5	4.8180e-03	5.8511e-03	0.510488	1
hDel_3274__0	14	4.8759e-03	2.9956e-03	0.510488	2
hDel_1132__4000	10	4.8924e-03	4.8313e-03	0.510488	2
hDel_1132__3750	10	4.8924e-03	4.8313e-03	0.510488	2
hDel_4555__1250	10	4.9032e-03	4.8313e-03	0.510488	2
hDel_2796__500	10	4.9086e-03	4.8313e-03	0.510488	2
hDel_6048__2500	5	4.9697e-03	5.8511e-03	0.510488	1
hDel_2564__3000	10	5.0446e-03	4.8313e-03	0.510488	2
hDel_3203__500	5	5.0455e-03	5.8511e-03	0.510488	1
hDel_1119__0	17	5.1663e-03	2.9531e-03	0.510488	2
hDel_459__0	13	5.6237e-03	4.0869e-03	0.510488	2
hDel_7182__1500	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_5967__0	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_6372__1250	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_2196__250	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_5827__9250	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_6190__8500	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_6899__3500	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_3585__3500	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_6418__99000	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_3558__4500	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_3558__4750	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_6899__5750	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_3842__1750	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_583__500	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_3756__0	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_2354__6500	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_6372__1500	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_4618__2250	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_7051__250	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_1024__1250	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_4621__9250	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_6048__8500	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_5669__2000	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_1519__6500	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_5637__500	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_1635__1250	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_4191__500	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_1647__1250	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_4172__3000	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_6488__-250	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_5050__4000	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_5050__3750	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_5140__2000	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_6447__0	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_3296__0	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_6007__0	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_3385__1750	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_123__2250	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_1306__1250	6	5.7606e-03	4.5354e-03	0.510488	1
hDel_1584__250	6	5.7788e-03	7.3957e-03	0.510488	1
hDel_5962__250	6	5.7970e-03	7.3957e-03	0.510488	1
hDel_473__500	6	5.9788e-03	7.3957e-03	0.510488	1
hDel_6009__500	6	6.0515e-03	7.3957e-03	0.510488	1
hDel_5738__11000	6	6.0697e-03	7.3957e-03	0.510488	1
hDel_4225__500	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_6851__250	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_3385__1500	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_6110__250	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_7179__2000	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_3933__750	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_553__2000	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_4157__3000	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_6899__5500	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_3060__1000	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_2369__0	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_2952__2500	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_1246__250	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_943__0	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_5130__500	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_1519__6250	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_3023__-250	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_4944__1000	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_4901__500	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_6048__8750	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_6418__189500	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_4859__7500	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_6631__2250	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_4724__4250	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_1394__8750	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_4529__22250	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_76__6250	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_1546__500	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_4529__31000	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_3429__6000	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_4618__2000	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_3310__16750	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_3429__6250	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_6862__250	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_6862__0	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_3759__1000	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_6076__250	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_366__250	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_7235__11250	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_7235__11500	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_6418__248500	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_5827__9000	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_3842__2000	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_3596__750	7	6.7175e-03	5.5938e-03	0.510488	1
hDel_404__2000	7	6.7387e-03	8.8736e-03	0.510488	1
hDel_5037__1500	7	6.7387e-03	8.8736e-03	0.510488	1
hDel_5909__13250	7	6.8870e-03	8.8736e-03	0.510488	1
hDel_3310__16500	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_4901__750	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_5006__1000	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_7156__1500	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_3703__500	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_939__0	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_5508__1500	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_5508__1750	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_4162__1000	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_5940__750	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_6804__250	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_4172__2750	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_5401__0	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_6269__500	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_4859__7750	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_473__750	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_2497__750	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_1497__2250	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_6467__0	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_6804__500	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_553__2250	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_4225__250	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_1460__500	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_3035__500	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_2797__1000	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_5535__250	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_4205__44000	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_293__500	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_2369__250	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_6456__36750	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_2814__0	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_361__3250	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_2327__11500	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_4621__9500	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_3429__13750	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_7182__1250	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_5488__4500	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_5669__1750	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_2121__250	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_3130__2750	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_7021__45250	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_7096__18750	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_4684__0	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_5637__750	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_3181__4000	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_6367__3750	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_3585__3250	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_4624__500	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_6206__500	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_6206__250	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_4548__750	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_469__1750	8	7.6734e-03	6.7577e-03	0.510488	1
