sgRNA	Gene	t0_C3624K	rep1_C3624K	rep2_C3624K
hDel_3303:160	hDel_3303	1905	1407	1435
hDel_978:52	hDel_978	3092	2336	3232
hDel_2610:198	hDel_2610	5517	4666	5547
panTro6_CTRL537	panTro6_CTRL	3228	2800	3923
hDel_3722:121	hDel_3722	3896	2989	2851
hDel_123:45	hDel_123	3607	3187	2540
hDel_494:81	hDel_494	6289	5285	8295
hDel_2610:187	hDel_2610	3596	3724	3802
hDel_7044:66	hDel_7044	3088	3386	4250
hDel_3059:271	hDel_3059	4365	3990	4141
hDel_3059:217	hDel_3059	1690	1413	1806
hDel_3933:18	hDel_3933	3812	4827	5242
hDel_6502:71	hDel_6502	3299	2272	2977
hDel_2823:270	hDel_2823	5445	5021	5755
hDel_4172:78	hDel_4172	714	1448	1209
hDel_6760:50	hDel_6760	2336	1897	2194
hDel_2781:102	hDel_2781	5043	2893	4261
hDel_1385:113	hDel_1385	5542	5582	5136
hDel_6904:80	hDel_6904	1948	1368	1190
hDel_169:21	hDel_169	5446	4031	5580
hDel_1112:37	hDel_1112	6106	4835	7386
hDel_4191:56	hDel_4191	2718	2737	4006
hDel_2657:166	hDel_2657	3290	2107	2098
hDel_2685:165	hDel_2685	3614	3429	4187
hDel_4625:6	hDel_4625	2798	1608	2101
hDel_3530:90	hDel_3530	5029	4366	5741
hDel_7030:134	hDel_7030	3500	2920	3794
hDel_4149:189	hDel_4149	5802	4100	4563
hDel_6113:78	hDel_6113	4576	5349	5712
hDel_4191:64	hDel_4191	3410	2592	2969
hDel_5006:39	hDel_5006	6759	6849	6934
hDel_3426:2	hDel_3426	2602	3184	3169
hDel_961:10	hDel_961	3946	4038	4479
hDel_6531:9	hDel_6531	2884	2877	2863
hDel_2333:60	hDel_2333	4235	4356	4870
hDel_553:164	hDel_553	4498	4197	5451
hDel_2781:16	hDel_2781	4621	4091	4038
hDel_6418:89	hDel_6418	2873	4299	3901
hDel_146:15	hDel_146	3367	2762	3589
hDel_2775:2	hDel_2775	4524	3720	5642
hDel_1024:51	hDel_1024	3447	4324	3342
hDel_6651:74	hDel_6651	3507	3550	3828
NKRF:4	NKRF	6041	3667	3996
hDel_4985:99	hDel_4985	2849	3070	3296
hDel_1110:45	hDel_1110	5874	4718	6491
hDel_7061:228	hDel_7061	5845	4481	4510
hDel_2823:333	hDel_2823	1591	1815	1269
hDel_4397:187	hDel_4397	3572	4155	4098
panTro6_CTRL1325	panTro6_CTRL	2653	3694	4489
hDel_4149:229	hDel_4149	2205	2132	2866
hDel_935:97	hDel_935	3956	3464	3476
hDel_5883:118	hDel_5883	2540	2557	2134
hDel_5487:169	hDel_5487	3479	3027	4878
hDel_855:114	hDel_855	1985	1182	2012
hDel_2635:61	hDel_2635	2739	1611	2196
hDel_3091:11	hDel_3091	3501	3106	3804
hDel_3726:40	hDel_3726	2960	3567	3733
hDel_5962:220	hDel_5962	2837	2097	2547
hDel_5660:87	hDel_5660	3299	3032	5715
hDel_3090:94	hDel_3090	955	2199	999
hDel_1635:71	hDel_1635	2720	3202	3217
hDel_6624:100	hDel_6624	3905	3497	3719
hDel_7179:241	hDel_7179	3744	2258	4415
hDel_6849:213	hDel_6849	4653	3769	3609
hDel_6125:75	hDel_6125	3532	3100	3467
hDel_366:24	hDel_366	3073	3905	3638
hDel_2952:135	hDel_2952	4307	3962	4920
hDel_1927:215	hDel_1927	3372	2570	3030
hDel_6143:126	hDel_6143	7198	8018	7344
hDel_2676:18	hDel_2676	2336	2860	2645
hDel_6631:35	hDel_6631	2737	3044	3408
hDel_6503:33	hDel_6503	5227	1289	1559
hDel_6993:65	hDel_6993	4113	2868	4177
hDel_5671:84	hDel_5671	3351	2973	3230
hDel_3334:79	hDel_3334	2031	3598	3403
hDel_6949:221	hDel_6949	3343	3469	4438
hDel_6574:277	hDel_6574	1978	2080	3220
hDel_76:138	hDel_76	2745	2400	1831
hDel_1997:73	hDel_1997	3113	3595	5387
hDel_251:320	hDel_251	2872	2107	2033
hDel_6146:177	hDel_6146	2692	2880	3249
hDel_251:190	hDel_251	2243	1491	2889
hDel_3407:25	hDel_3407	2927	3240	3680
hDel_6418:249	hDel_6418	3885	3153	3801
hDel_7004:95	hDel_7004	4516	3454	4166
hDel_5883:183	hDel_5883	5814	5353	5350
hDel_5245:115	hDel_5245	3247	3087	4314
hDel_4092:21	hDel_4092	5249	4486	5932
hDel_6518:52	hDel_6518	2605	2542	2162
hDel_5084:96	hDel_5084	4837	4409	4842
hDel_6130:1	hDel_6130	5006	3144	4374
hDel_3103:6	hDel_3103	5100	5200	6325
hDel_3059:229	hDel_3059	3405	3260	3959
hDel_7114:80	hDel_7114	4526	4852	4956
hDel_2044:140	hDel_2044	1515	1387	1525
hDel_845:363	hDel_845	3531	3505	4958
hDel_6234:276	hDel_6234	8655	5815	7237
hDel_251:159	hDel_251	4643	5141	4313
hDel_2185:45	hDel_2185	2469	2805	2803
hDel_1927:97	hDel_1927	3564	3487	3869
hDel_5864:160	hDel_5864	5521	5788	6832
hDel_6833:65	hDel_6833	6572	7347	7992
hDel_6098:143	hDel_6098	2327	2316	3002
hDel_2879:99	hDel_2879	3681	3783	5435
hDel_6851:101	hDel_6851	3363	3024	3068
hDel_3181:135	hDel_3181	3243	2952	3632
hDel_5681:9	hDel_5681	3812	3395	2887
hDel_794:97	hDel_794	3577	3220	3168
hDel_3825:1	hDel_3825	3373	2959	4123
panTro6_CTRL2991	panTro6_CTRL	5181	4509	5077
hDel_4543:63	hDel_4543	4761	4316	6564
hDel_5964:81	hDel_5964	3634	2933	3438
hDel_4859:74	hDel_4859	3882	2957	4142
